outlet_name,postal_code,onemap_address,planning_area
Singapore Pools Woodlands N3 Branch,730305,305 WOODLANDS STREET 31 FUCHUN NEIGHBOURHOOD CENTRE SINGAPORE 730305,WOODLANDS
Singapore Pools Jurong West N2 Branch,640276,276 JURONG WEST STREET 25 MULTI STOREY CAR PARK SINGAPORE 640276,JURONG WEST
Singapore Pools Jurong East Branch,600351,351 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600351,JURONG EAST
Singapore Pools Hougang N3 Branch,530322,322 HOUGANG AVENUE 5 SINGAPORE 530322,HOUGANG
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,640762,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,JURONG WEST
Singapore Pools Funan Branch,179105,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,DOWNTOWN CORE
Singapore Pools Circuit Road 64 Branch,370064,64 CIRCUIT ROAD SINGAPORE 370064,GEYLANG
Singapore Pools Bukit Batok Central Branch,650642,642 BUKIT BATOK CENTRAL SINGAPORE 650642,BUKIT BATOK
Singapore Pools Ang Mo Kio N6 Branch,560630,630 ANG MO KIO AVENUE 4 YIO CHU KANG VIEW SINGAPORE 560630,ANG MO KIO
NTUC FairPrice Yishun Ring Road,760849,849 YISHUN RING ROAD MLC (YISHUN) PTE. LTD. SINGAPORE 760849,YISHUN
NTUC FairPrice Serangoon North Avenue 1,552152,152B SERANGOON NORTH AVENUE 1 SINGAPORE 552152,SERANGOON
NTUC FairPrice Havelock Road,160050,50 HAVELOCK ROAD MY FIRST SKOOL SINGAPORE 160050,BUKIT MERAH
NTUC FairPrice Changi Business Park,486018,8 CHANGI BUSINESS PARK AVENUE 1 CHANGI LINK @ ESR BIZPARK @ CHANGI SINGAPORE 486018,TAMPINES
Ng Nam Thye Trading - Taman Jurong,610399,399 YUNG SHENG ROAD IMAN CHILDCARE (JURONG) PTE. LTD. SINGAPORE 610399,JURONG WEST
Dawn Florist - Aljunied Avenue 2,380119,119 ALJUNIED AVENUE 2 SINGAPORE 380119,GEYLANG
Li Li Cheng Supermarket (Punggol) Pte Ltd,823273,273C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823273,PUNGGOL
Cold Storage Compass One,545078,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,SENGKANG
Chua Yan Kee,142049,49 TANGLIN HALT ROAD SINGAPORE 142049,QUEENSTOWN
Chng Siow Eng Agency,510625,625 ELIAS ROAD CHERIE HEARTS KIDZ CAMPUS PTE. LTD. SINGAPORE 510625,PASIR RIS
Cheng Tai Boon Beng,238841,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,ORCHARD
Cheng Chew Wah Agency - Marine Terrace,440058,58 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440058,MARINE PARADE
7-Eleven Store McCallum Street,69044,3A MCCALLUM STREET TELOK AYER CONSERVATION AREA SINGAPORE 069044,OUTRAM
Wong Teck Chow Enterprise (Private) Limited,188061,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,ROCHOR
U Stars Sumang Walk,820218,218 SUMANG WALK MATILDA PORTICO SINGAPORE 820218,PUNGGOL
Tuck Lee Long,560159,159 ANG MO KIO AVENUE 4 SINGAPORE 560159,ANG MO KIO
Tay Ah Tho Trading,730768,768 WOODLANDS AVENUE 6 CENTRAL 24-HR CLINIC (WOODLANDS) SINGAPORE 730768,WOODLANDS
Tan Kai Huat Provision Shop,530123,123 HOUGANG AVENUE 1 PRO-TEACH BASC AND TUITION CENTRE (PAYA LEBAR) SINGAPORE 530123,HOUGANG
Singapore Pools Sim Lim Square Branch,188504,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,ROCHOR
Singapore Pools Silat Avenue Branch,160150,150 SILAT AVENUE SINGAPORE 160150,BUKIT MERAH
Singapore Pools Siglap Branch,459060,697D EAST COAST ROAD FRANKEL ESTATE SINGAPORE 459060,BEDOK
Singapore Pools Choa Chu Kang Branch,680303,manual,CHOA CHU KANG
Singapore Pools Chinatown Point Branch,59413,133 NEW BRIDGE ROAD CHINATOWN LIBRARY SINGAPORE 059413,OUTRAM
Singapore Pools Chin Swee Branch,160052,52 CHIN SWEE ROAD SINGAPORE 160052,OUTRAM
Singapore Pools Cheong Chin Nam Road Branch,599730,5 CHEONG CHIN NAM ROAD SINGAPORE 599730,BUKIT TIMAH
Singapore Pools Beo Crescent Branch,160036,36 BEO CRESCENT THE BEO CRESCENT SINGAPORE 160036,BUKIT MERAH
